person.name,count(acted.roles)
Hugo Weaving,6
Samuel L. Jackson,1
Chris Evans,1
Emil Eifrem,1
Laurence Fishburne,3
Carrie-Anne Moss,3
Keanu Reeves,7
Al Pacino,1
Charlize Theron,2
Cuba Gooding Jr.,4
J.T. Walsh,2
Aaron Sorkin,1
Kevin Pollak,1
Jack Nicholson,5
Kevin Bacon,3
Tom Cruise,3
Christopher Guest,1
Kiefer Sutherland,2
Noah Wyle,1
James Marshall,1
Demi Moore,1
Val Kilmer,1
Kelly McGillis,1
Meg Ryan,5
Tom Skerritt,1
Anthony Edwards,1
Jay Mohr,1
Bonnie Hunt,2
Kelly Preston,1
Jonathan Lipnicki,1
Renee Zellweger,1
Jerry O'Connell,2
Regina King,1
John Cusack,1
Marshall Bell,2
Corey Feldman,1
Wil Wheaton,1
River Phoenix,1
Greg Kinnear,2
Helen Hunt,3
Werner Herzog,1
Annabella Sciorra,1
Robin Williams,3
Max von Sydow,2
Rick Yune,2
James Cromwell,2
Ethan Hawke,1
Tom Hanks,12
Dave Chappelle,1
Steve Zahn,2
Parker Posey,1
Victor Garber,1
Bill Pullman,1
Rosie O'Donnell,2
Rita Wilson,1
Nathan Lane,2
Carrie Fisher,1
Billy Crystal,1
Bruno Kirby,1
Liv Tyler,1
Orlando Jones,1
Brooke Langton,1
Gene Hackman,3
Christian Bale,1
Zach Grenier,2
Richard Harris,1
Clint Eastwood,1
Dina Meyer,1
Takeshi Kitano,1
Ice-T,1
Halle Berry,1
Jim Broadbent,1
Paul Bettany,1
Ian McKellen,1
Audrey Tautou,1
Stephen Rea,1
Natalie Portman,1
John Hurt,1
Ben Miles,3
Rain,2
Matthew Fox,1
Christina Ricci,1
Emile Hirsch,1
John Goodman,1
Susan Sarandon,1
Naomie Harris,1
Sam Rockwell,2
David Morse,1
Patricia Clarkson,1
Michael Clarke Duncan,1
Gary Sinise,2
Oliver Platt,2
Michael Sheen,1
Frank Langella,1
John C. Reilly,1
Danny DeVito,2
Bill Paxton,3
Ed Harris,1
Philip Seymour Hoffman,2
Diane Keaton,1
Julia Roberts,1
Lori Petty,1
Madonna,1
Geena Davis,1